Human Resources	(33.6839473,-117.79469419999998) 
Middle Earth Housing	(33.6447198,-117.83761870000001) 
Health Policy Research	(33.6839473,-117.79469419999998) 
American Academy of Arts & Sciences	(33.6839473,-117.79469419999998) 
Mesa Court Housing	(33.6530619,-117.84537190000003) 
Irvine Barclay Theatre	(33.6491845,-117.84080890000001) 
Multipurpose Academic & Administrative Bldg.	(33.6839473,-117.79469419999998) 
Education	(33.647242,-117.83589) 
Teacher Education	(33.6839473,-117.79469419999998) 
Law / Berkeley Place	(33.6839473,-117.79469419999998) 
Law / Berkeley Place	(33.6839473,-117.79469419999998) 
Student Health Center	(33.6456187,-117.83589870000003) 
Campus Information	(33.6488143,-117.8419763) 
Public Services	(33.6465253,-117.83490760000001) 
Bike Shop	(33.6839473,-117.79469419999998) 
American Heart Association	(33.648381,-117.8306849) 
Early Childhood Education Center	(33.6475186,-117.83008960000001) 
University Montessori School	(33.6406744,-117.83668349999999) 
Faculty/Staff Housing Office	(33.6839473,-117.79469419999998) 
Electrical Substation	(33.6401047,-117.84990190000002) 
Env. Health & Safety Services Facility	(33.6839473,-117.79469419999998) 
Arts Student Affairs	(33.6839473,-117.79469419999998) 
Mesa Arts Building	(33.6839473,-117.79469419999998) 
Mesa Office Building	(33.6647291,-117.8548614) 
Beckman Center of the National Academies of Sciences & Engineering	(33.6493645,-117.85426619999998) 
Child Development Center	(33.6761132,-117.7749935) 
Receiving	(33.6639953,-117.8552277) 
Interim Office Building	(33.6647291,-117.8548614) 
Mailroom	(33.664833,-117.85451799999998) 
Career Center	(33.6479631,-117.8423239) 
Student Services I	(33.6479631,-117.8423239) 
Student Services II	(33.6479631,-117.8423239) 
Aldrich Hall	(33.6484179,-117.84124680000002) 
Campus Information	(33.6488143,-117.8419763) 
The Hill (UCI Bookstore)	(33.6839473,-117.79469419999998) 
Student Center	(33.6488143,-117.8419763) 
Center for Service in Action	(33.6839473,-117.79469419999998) 
Social Science Hall	(33.64622689999999,-117.840059) 
Social Science Tower	(33.6464558,-117.8402762) 
Institute of Transportation Studies	(33.6839473,-117.79469419999998) 
Social Science Laboratory	(33.6459134,-117.8400049) 
Social Science Trailer	(33.6470162,-117.84027090000001) 
Phoenix Grille	(33.6455562,-117.8406281) 
Social Ecology I	(33.6461669,-117.8388013) 
Social Science Plaza A	(33.6470026,-117.83955760000003) 
Social Science Lecture Hall	(33.6472503,-117.83968440000001) 
Social Science Plaza B	(33.6469995,-117.83911539999997) 
Social & Behavioral Sciences Gateway	(33.6839473,-117.79469419999998) 
Social & Behavioral Sciences	(33.6839473,-117.79469419999998) 
Social Ecology II	(33.6465885,-117.83893109999997) 
Air Pollution Labs	(33.664799,-117.8538312) 
Faculty Research Facility	(33.6642923,-117.85417459999996) 
Arboretum	(33.6640157,-117.85373959999998) 
Facilities Management Shops	(33.6636187,-117.85412880000001) 
Recycling Center	(33.6636121,-117.8553536) 
Gateway Study Center	(33.6474482,-117.8417849) 
Langson Library	(33.6471226,-117.8410819) 
Cross-Cultural Center	(33.6477828,-117.84185009999999) 
Counseling Center	(33.6479631,-117.8423239) 
Career Center	(33.6479631,-117.8423239) 
Student Services I	(33.6479631,-117.8423239) 
Student Services II	(33.6479631,-117.8423239) 
Aldrich Hall	(33.6484179,-117.84124680000002) 
Campus Information	(33.6488143,-117.8419763) 
The Hill (UCI Bookstore)	(33.6839473,-117.79469419999998) 
Student Center	(33.6488143,-117.8419763) 
Center for Service in Action	(33.6839473,-117.79469419999998) 
Social Science Hall	(33.64622689999999,-117.840059) 
Social Science Tower	(33.6464558,-117.8402762) 
Institute of Transportation Studies	(33.6839473,-117.79469419999998) 
Social Science Laboratory	(33.6459134,-117.8400049) 
Social Science Trailer	(33.6470162,-117.84027090000001) 
Phoenix Grille	(33.6455562,-117.8406281) 
Social Ecology I	(33.6461669,-117.8388013) 
Social Science Plaza A	(33.6470026,-117.83955760000003) 
